iter	Passed	Remaining
0	1	119
1	2	102
2	3	97
3	3	90
4	4	88
5	5	86
6	6	84
7	7	82
8	8	81
9	8	80
10	9	79
11	11	81
12	12	84
13	14	86
14	15	85
15	15	83
16	17	83
17	17	81
18	18	80
19	19	78
20	20	77
21	21	75
22	22	74
23	23	73
24	24	72
25	24	71
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	36	55
40	37	54
41	38	52
42	39	51
43	40	51
44	41	50
45	41	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	53	37
59	54	36
60	54	35
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	61	27
69	62	26
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	16
81	73	16
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	85	3
96	86	2
97	87	1
98	88	0
99	89	0
